index,code,longitude,latitude
337,BE,2.650554012,50.81610919
1274,ES,-5.61360876,36.00610012
748,DK,9.819163312,55.60471815
1252,ES,2.117363212,41.28930004
582,AT,14.86750012,46.61332704
1073,RS,22.36721824,43.82694504
928,IT,12.43080023,37.8032541
224,FR,6.729236053,49.1676361
572,AT,16.94618228,48.61906417
873,IT,7.031663334,44.8313822
824,IT,13.59944507,43.57000015
1188,RO,22.46610911,44.71374503
160,FR,-0.539926748,44.89561809
397,DE,8.560863286,53.51543607
726,DK,9.318263291,56.5254092
729,DK,9.302573206,56.99985409
1146,MK,20.51916331,41.24638218
186,FR,-4.192154989,48.29937319
77,GR,23.71847323,39.91389108
773,DK,12.09152711,55.72527322
207,FR,0.075836023,49.52256427
387,DE,7.350900188,53.30725407
446,DE,12.51541823,50.39249116
365,DE,8.226082193,48.96441803
189,FR,-4.776663823,48.51110912
381,DE,6.736391181,52.07666412
1103,SK,21.61263606,49.43652705
172,FR,-2.539654895,47.2980541
844,IT,16.56916327,38.42833604
1195,RO,20.80160026,45.75867315
657,HR,17.86034516,45.0493732
236,FR,5.967009078,46.20729122
1159,BG,23.04298219,44.07256414
841,IT,17.14555406,39.39638215
115,GR,21.85360924,38.33958208
1014,PL,14.6141633,53.81638211
831,IT,15.9850001,41.43971816
906,IT,13.19333616,45.77805396
368,DE,6.362173234,49.45939121
355,BE,5.899163271,49.66277323
645,HR,17.66097321,45.83874497
478,NL,6.736391181,52.07666412
950,IT,9.824163284,40.52721808
391,DE,8.161245155,53.55868217
64,GR,26.04471808,40.73582705
1130,SI,16.29250916,46.5308181
318,CH,7.855745067,45.919054
987,PL,20.07336324,49.17787325
319,CH,7.038054033,45.93193614
1094,SK,18.85124504,49.51735408
403,DE,8.88305409,53.96110908
951,IT,9.623336069,40.25187323
521,AL,19.82250026,42.47193613
975,ME,18.5535361,42.42721817
369,DE,6.524027114,49.80770019
347,BE,5.847136127,51.15319112
653,HR,19.1673541,45.21430006
1232,ES,-7.044817726,43.49040006
351,BE,6.398200162,50.32317315
527,AL,20.74080916,40.90953613
852,IT,15.3548632,40.0009001
256,FR,6.64166327,43.18500005
356,BE,5.807882166,49.54504504
411,DE,8.408054151,55.0565271
507,NL,5.100273181,52.94805398
927,IT,12.65610914,37.55978211
413,DE,8.664545082,54.91309111
469,DE,8.562918193,47.80666413
1223,RO,28.75750027,44.51971806
1260,ES,0.207218165,38.73220903
1199,RO,22.8948002,47.95453599
877,IT,7.146945014,45.43054511
660,HR,16.29176334,44.99911816
433,DE,13.80853617,53.85478212
1036,PL,23.63860912,52.07943601
667,HR,17.30374505,43.27569107
777,DK,12.61729121,56.04013606
854,IT,14.99166327,40.39569109
1255,ES,0.885282283,40.70277318
1102,SK,21.07152721,49.42208218
963,ME,18.70277321,43.25714511
1282,ES,-7.446945902,37.69943601
577,AT,16.71389124,47.54388208
495,NL,4.209436127,51.6740912
4,PT,-8.083754962,42.06048208
90,GR,22.52385405,38.86607322
849,IT,15.82902713,38.62798208
703,DK,9.67715409,55.19117315
809,HU,17.16638225,48.0125002
147,FR,0.67550923,42.68848209
1165,BG,28.58324519,43.74776422
